year,destination_region,origin_country_grouped,passengers_total
2016,North,Portugal,23132
2016,North,Suriname,19933
2016,North,Venezuela,6257
2016,Northeast,Alemanha,31664
2016,Northeast,Argentina,101016
2016,Northeast,Espanha,28739
2016,Northeast,Estados Unidos Da América,33460
2016,Northeast,Other,32620
2016,Northeast,Panamá,12457
2016,Northeast,Portugal,217997
2016,South,Argentina,142454
2016,South,Chile,11803
2016,South,Other,8840
2016,South,Panamá,41259
2016,South,Peru,65576
2016,South,Portugal,34280
2016,South,Uruguai,16606
2016,Southeast,Argentina,1430846
2016,Southeast,Chile,744281
2016,Southeast,Espanha,467866
2016,Southeast,Estados Unidos Da América,2066305
2016,Southeast,França,437313
2016,Southeast,Other,3436763
2016,Southeast,Portugal,395058
2017,Central-West,Argentina,55100
2017,Central-West,Estados Unidos Da América,47386
2017,Central-West,Other,6224
2017,Central-West,Panamá,54567
2017,Central-West,Portugal,62656
2017,Central-West,República Dominicana,1737
2017,North,Estados Unidos Da América,46239
2017,North,Guiana Francesa,8731
2017,North,Other,8987
2017,North,Panamá,15936
2017,North,Portugal,23829
2017,North,Suriname,15709
2017,North,Venezuela,1986
2017,Northeast,Alemanha,27636
2017,Northeast,Argentina,141921
2017,Northeast,Espanha,32794
2017,Northeast,Estados Unidos Da América,49440
2017,Northeast,Other,41617
2017,Northeast,Panamá,10752
2017,Northeast,Portugal,252842
2017,South,Argentina,169949
2017,South,Chile,23322
2017,South,Other,1926
2017,South,Panamá,46206
2017,South,Peru,70538
2017,South,Portugal,38605
2017,South,Uruguai,39017
2017,Southeast,Argentina,1544760
2017,Southeast,Chile,834702
2017,Southeast,Espanha,429943
2017,Southeast,Estados Unidos Da América,2091054
2017,Southeast,França,419930
2017,Southeast,Other,3598424
2017,Southeast,Portugal,479032
2018,Central-West,Argentina,43934
2018,Central-West,Estados Unidos Da América,62364
2018,Central-West,Other,5510
2018,Central-West,Panamá,47964
2018,Central-West,Portugal,70834
2018,Central-West,República Dominicana,11202
2018,North,Estados Unidos Da América,70721
2018,North,Guiana Francesa,5504
2018,North,Other,5317
2018,North,Panamá,14934
2018,North,Portugal,24336
2018,North,Suriname,15404
2018,North,Venezuela,12059
2018,Northeast,Alemanha,30419
2018,Northeast,Argentina,171321
2018,Northeast,Espanha,58716
2018,Northeast,Estados Unidos Da América,115997
2018,Northeast,Other,81034
2018,Northeast,Panamá,17588
2018,Northeast,Portugal,274386
2018,South,Argentina,258230
2018,South,Chile,28231
2018,South,Other,6255
2018,South,Panamá,53548
2018,South,Peru,72325
2018,South,Portugal,41506
2018,South,Uruguai,51244
2018,Southeast,Argentina,1524496
2018,Southeast,Chile,1007293
2018,Southeast,Espanha,459043
2018,Southeast,Estados Unidos Da América,2301494
2018,Southeast,França,446473
2018,Southeast,Other,3836084
2018,Southeast,Portugal,551420
2019,Central-West,Argentina,53839
